sweep_id,series,direction,encoder_deg,temperature_sensor_k,field_sensor_t,rho_xx_uohm_cm
A01,angle,up,-1.25263171,1.81614545,5.20730710,19.54287575
A01,angle,up,-1.25527341,1.81724722,5.22177899,19.55075110
A01,angle,up,-1.25651157,1.81639868,5.23796443,19.55265456
A01,angle,up,-1.25150647,1.81711899,5.25340889,19.55407911
A01,angle,up,-1.24780366,1.81593268,5.26976673,19.55451138
A01,angle,up,-1.25284417,1.81687510,5.28357057,19.56104825
A01,angle,up,-1.24742347,1.81650376,5.29994592,19.57009314
A01,angle,up,-1.25343449,1.81652392,5.31407486,19.58342886
A01,angle,up,-1.24905026,1.81735501,5.32995645,19.58941714
A01,angle,up,-1.25081350,1.81672595,5.34635206,19.59440543
A01,angle,up,-1.25610732,1.81677932,5.36127116,19.59541875
A01,angle,up,-1.25545087,1.81643331,5.37682182,19.59835740
A01,angle,up,-1.25008034,1.81658527,5.39192394,19.60254242
A01,angle,up,-1.25502473,1.81631280,5.40584284,19.61005830
A01,angle,up,-1.25698287,1.81787258,5.42279434,19.62134844
A01,angle,up,-1.25294758,1.81716923,5.43784193,19.63295056
A01,angle,up,-1.24882293,1.81710415,5.45346775,19.63844266
A01,angle,up,-1.25356242,1.81650259,5.46837825,19.63963683
A01,angle,up,-1.24868415,1.81678179,5.48444350,19.64084012
A01,angle,up,-1.25527947,1.81605697,5.49990615,19.64322208
A01,angle,up,-1.25470139,1.81630333,5.51476125,19.65116401
A01,angle,up,-1.25604547,1.81782236,5.53034436,19.65745637
A01,angle,up,-1.24931926,1.81732300,5.54531285,19.67006239
A01,angle,up,-1.25141057,1.81697073,5.56176271,19.67936450
A01,angle,up,-1.25631379,1.81668217,5.57608270,19.68676904
A01,angle,up,-1.25667736,1.81685378,5.59226191,19.69095924
A01,angle,up,-1.25439428,1.81708121,5.60728225,19.68950308
A01,angle,up,-1.25419610,1.81655475,5.62278897,19.69271090
A01,angle,up,-1.25009658,1.81600855,5.63809486,19.69972389
A01,angle,up,-1.25263294,1.81647683,5.65418596,19.70507640
A01,angle,up,-1.25317056,1.81617840,5.66917954,19.71627068
A01,angle,up,-1.25686975,1.81707303,5.68453644,19.72622719
A01,angle,up,-1.25590893,1.81699249,5.69942250,19.73826800
A01,angle,up,-1.25906934,1.81626049,5.71504386,19.74227181
A01,angle,up,-1.25920575,1.81725905,5.73044947,19.74350250
A01,angle,up,-1.25282461,1.81644145,5.74657120,19.74352737
A01,angle,up,-1.25501444,1.81680389,5.76117413,19.74619218
A01,angle,up,-1.25056218,1.81635231,5.77672791,19.75509999
A01,angle,up,-1.25474605,1.81647752,5.79166744,19.76088539
A01,angle,up,-1.25227131,1.81762282,5.80770382,19.77356357
A01,angle,up,-1.25524464,1.81687991,5.82181146,19.78732145
A01,angle,up,-1.25545746,1.81625948,5.83792137,19.79728103
A01,angle,up,-1.25359445,1.81610934,5.85278905,19.79977650
A01,angle,up,-1.25737091,1.81738320,5.86833526,19.80142371
A01,angle,up,-1.25388977,1.81742665,5.88442795,19.80153590
A01,angle,up,-1.25400756,1.81724982,5.89923550,19.80373912
A01,angle,up,-1.25538419,1.81661345,5.91560693,19.81520571
A01,angle,up,-1.25485470,1.81624273,5.93016369,19.82100593
A01,angle,up,-1.25409961,1.81634763,5.94684402,19.83358433
A01,angle,up,-1.25609916,1.81551201,5.96176086,19.84620544
A01,angle,up,-1.25038016,1.81695298,5.97703347,19.85502231
A01,angle,up,-1.24968433,1.81643338,5.99290392,19.86291643
A01,angle,up,-1.25609717,1.81603392,6.00727065,19.86395663
A01,angle,up,-1.25350743,1.81651420,6.02342526,19.86485164
A01,angle,up,-1.25586912,1.81616765,6.03889687,19.86666108
A01,angle,up,-1.25461996,1.81553596,6.05409482,19.87243139
A01,angle,up,-1.25045813,1.81680392,6.06907496,19.87810500
A01,angle,up,-1.25682034,1.81666661,6.08477716,19.89026864
A01,angle,up,-1.25553530,1.81679782,6.10072338,19.90375974
A01,angle,up,-1.25997979,1.81651336,6.11520861,19.91685663
A01,angle,up,-1.25744450,1.81688877,6.13118901,19.92512443
A01,angle,up,-1.24930943,1.81599528,6.14587428,19.92972042
A01,angle,up,-1.25140550,1.81618282,6.16147761,19.92917091
A01,angle,up,-1.25308038,1.81620947,6.17702175,19.93350406
A01,angle,up,-1.25764913,1.81676069,6.19216281,19.93541369
A01,angle,up,-1.25587570,1.81707810,6.20761555,19.94248309
A01,angle,up,-1.25136127,1.81614057,6.22378063,19.94650032
A01,angle,up,-1.25264296,1.81786621,6.23860413,19.95993603
A01,angle,up,-1.25780932,1.81657434,6.25423939,19.97354256
A01,angle,up,-1.25474190,1.81659416,6.26941164,19.98523742
A01,angle,up,-1.25229215,1.81720681,6.28501187,19.99810485
A01,angle,up,-1.25724057,1.81788584,6.29935255,20.00106627
A01,angle,up,-1.25178812,1.81620049,6.31560551,20.00468085
A01,angle,up,-1.25684798,1.81706735,6.33170797,20.00622839
A01,angle,up,-1.25842234,1.81772503,6.34732857,20.00702835
A01,angle,up,-1.25625827,1.81627024,6.36132010,20.01147079
A01,angle,up,-1.25707376,1.81642794,6.37717576,20.01982642
A01,angle,up,-1.25343735,1.81637072,6.39240943,20.02928763
A01,angle,up,-1.25486906,1.81653511,6.40780633,20.04185783
A01,angle,up,-1.26220747,1.81623668,6.42272251,20.05673975
A01,angle,up,-1.25552964,1.81717746,6.43877186,20.07031360
